SampleID	Env	SourceSink	id
ERR526026	Env_1	Source	48
ERR525901	Env_4	Source	48
ERR526064	Env_3	Source	48
ERR525780	Env_3	Source	48
ERR525733	Env_4	Source	48
ERR525972	Env_3	Source	48
ERR526059	Env_4	Source	48
ERR525910	Env_5	Source	48
ERR525809	Env_4	Source	48
ERR525963	Env_4	Source	48
ERR525990	Env_1	Source	48
ERR525692	Env_4	Source	48
ERR525961	Env_2	Source	48
ERR525766	Env_1	Source	48
ERR525773	Env_2	Source	48
ERR526025	Env_2	Source	48
ERR525759	Env_4	Source	48
ERR525808	Env_1	Source	48
ERR526020	Env_3	Source	48
ERR525918	Env_1	Source	48
ERR525985	Env_2	Source	48
ERR525738	Env_3	Source	48
ERR525937	Env_2	Source	48
ERR525791	Env_4	Source	48
ERR525871	Env_4	Source	48
ERR525762	Env_1	Source	48
ERR526060	Env_3	Source	48
ERR525967	Env_4	Source	48
ERR525911	Env_8	Source	48
ERR525689	Env_3	Source	48
ERR525949	Env_2	Source	48
ERR526086	Env_1	Source	48
ERR526002	Env_1	Source	48
ERR525939	Env_4	Source	48
ERR525965	Env_2	Source	48
ERR525781	Env_2	Source	48
ERR525746	Env_4	Source	48
ERR525863	Env_4	Source	48
ERR525821	Env_2	Source	48
ERR525800	Env_3	Source	48
ERR525882	Env_2	Source	48
ERR525802	Env_2	Source	48
ERR525860	Env_3	Source	48
ERR525731	Env_2	Source	48
ERR526057	Env_2	Source	48
ERR525723	Env_2	Source	48
ERR525776	Env_3	Source	48
ERR525984	Env_3	Source	48
ERR525854	Env_1	Source	48
ERR526008	Env_3	Source	48
ERR526084	Env_3	Source	48
ERR525850	Env_1	Source	48
ERR526082	Env_1	Source	48
ERR525835	Env_4	Source	48
ERR525712	Env_4	Source	48
ERR525826	Env_1	Source	48
ERR525940	Env_3	Source	48
ERR525788	Env_3	Source	48
ERR526045	Env_2	Source	48
ERR525895	Env_4	Source	48
ERR526073	Env_4	Source	48
ERR525892	Env_1	Source	48
ERR525885	Env_2	Source	48
ERR526007	Env_4	Source	48
ERR525955	Env_4	Source	48
ERR526039	Env_4	Source	48
ERR525851	Env_4	Source	48
ERR525831	Env_4	Source	48
ERR526014	Env_1	Source	48
ERR525986	Env_1	Source	48
ERR525983	Env_4	Source	48
ERR525932	Env_3	Source	48
ERR526046	Env_1	Source	48
ERR525718	Env_2	Source	48
ERR526034	Env_1	Source	48
ERR526051	Env_4	Source	48
ERR525772	Env_3	Source	48
ERR526044	Env_3	Source	48
ERR525970	Env_1	Source	48
ERR526012	Env_3	Source	48
ERR525756	Env_1	Source	48
ERR525980	Env_3	Source	48
ERR526032	Env_3	Source	48
ERR525858	Env_1	Source	48
ERR526010	Env_1	Source	48
ERR526070	Env_3	Source	48
ERR525908	Env_7	Source	48
ERR526018	Env_1	Source	48
ERR525747	Env_3	Source	48
ERR525792	Env_3	Source	48
ERR525864	Env_3	Source	48
ERR525794	Env_1	Source	48
ERR525869	Env_2	Source	48
ERR525849	Env_2	Source	48
ERR526033	Env_2	Source	48
ERR525755	Env_2	Source	48
ERR525888	Env_1	Source	48
ERR525877	Env_2	Source	48
ERR525699	Env_4	Source	48
ERR525698	Env_1	Source	48
ERR525876	Env_3	Source	48
ERR525743	Env_3	Source	48
ERR525785	Env_2	Source	48
ERR525795	Env_4	Source	48
ERR525929	Env_2	Source	48
ERR525777	Env_2	Source	48
ERR525735	Env_2	Source	48
ERR526001	Env_2	Source	48
ERR525783	Env_4	Source	48
ERR525936	Env_3	Source	48
ERR525741	Env_4	Source	48
ERR525930	Env_1	Source	48
ERR526004	Env_3	Source	48
ERR526040	Env_3	Source	48
ERR525960	Env_3	Source	48
ERR525957	Env_2	Source	48
ERR526053	Env_2	Source	48
ERR525924	Env_3	Source	48
ERR526077	Env_2	Source	48
ERR525968	Env_3	Source	48
ERR525744	Env_2	Source	48
ERR525742	Env_3	Source	48
ERR525688	Env_3	Source	48
ERR526042	Env_1	Source	48
ERR525848	Env_3	Source	48
ERR525838	Env_1	Source	48
ERR525801	Env_3	Source	48
ERR525728	Env_1	Source	48
ERR525905	Env_2	Source	48
ERR525803	Env_1	Source	48
ERR526063	Env_4	Source	48
ERR525753	Env_4	Source	48
ERR525894	Env_1	Source	48
ERR525825	Env_2	Source	48
ERR525757	Env_4	Source	48
ERR525974	Env_1	Source	48
ERR525948	Env_4	Source	48
ERR525991	Env_4	Source	48
ERR526028	Env_3	Source	48
ERR525789	Env_2	Source	48
ERR525798	Env_1	Source	48
ERR525693	Env_2	Source	48
ERR525710	Env_2	Source	48
ERR525962	Env_1	Source	48
ERR525811	Env_2	Source	48
ERR525966	Env_1	Source	48
ERR525922	Env_1	Source	48
ERR526047	Env_4	Source	48
ERR525907	Env_4	Source	48
ERR525906	Env_1	Source	48
ERR525771	Env_4	Source	48
ERR526055	Env_4	Source	48
ERR525899	Env_2	Source	48
ERR525700	Env_3	Source	48
ERR525943	Env_4	Source	48
ERR525775	Env_4	Source	48
ERR525814	Env_1	Source	48
ERR525870	Env_1	Source	48
ERR525993	Env_2	Source	48
ERR525694	Env_3	Source	48
ERR525946	Env_2	Source	48
ERR525752	Env_1	Source	48
ERR526009	Env_2	Source	48
ERR525859	Env_4	Source	48
ERR526079	Env_4	Source	48
ERR525790	Env_1	Source	48
ERR525734	Env_3	Source	48
ERR525902	Env_1	Source	48
ERR525839	Env_4	Source	48
ERR525886	Env_3	Source	48
ERR526021	Env_2	Source	48
ERR525722	Env_3	Source	48
ERR525935	Env_4	Source	48
ERR526080	Env_3	Source	48
ERR525956	Env_3	Source	48
ERR526027	Env_4	Source	48
ERR525711	Env_1	Source	48
ERR525862	Env_1	Source	48
ERR525720	Env_4	Source	48
ERR525778	Env_1	Source	48
ERR525832	Env_3	Source	48
ERR525852	Env_3	Source	48
ERR525903	Env_4	Source	48
ERR526078	Env_1	Source	48
ERR525855	Env_4	Source	48
ERR525917	Env_2	Source	48
ERR525926	Env_2	Source	48
ERR526065	Env_2	Source	48
ERR525999	Env_4	Source	48
ERR525987	Env_4	Source	48
ERR525739	Env_2	Source	48
ERR525954	Env_1	Source	48
ERR525992	Env_3	Source	48
ERR525952	Env_1	Source	48
ERR525973	Env_2	Source	48
ERR525925	Env_3	Source	48
ERR526022	Env_1	Source	48
ERR525709	Env_3	Source	48
ERR525827	Env_4	Source	48
ERR525834	Env_1	Source	48
ERR525715	Env_1	Source	48
ERR525736	Env_1	Source	48
ERR526072	Env_1	Source	48
ERR525872	Env_3	Source	48
ERR525818	Env_1	Source	48
ERR525846	Env_1	Source	48
ERR525875	Env_4	Source	48
ERR525868	Env_3	Source	48
ERR525988	Env_3	Source	48
ERR525716	Env_4	Source	48
ERR525889	Env_4	Source	48
ERR526048	Env_3	Source	48
ERR526087	Env_4	Source	48
ERR525769	Env_2	Source	48
ERR525912	Env_3	Source	48
ERR525707	Env_1	Source	48
ERR525829	Env_2	Source	48
ERR525796	Env_3	Source	48
ERR525938	Env_1	Source	48
ERR525981	Env_2	Source	48
ERR526019	Env_4	Source	48
ERR525751	Env_4	Source	48
ERR526015	Env_4	Source	48
ERR526081	Env_2	Source	48
ERR525702	Env_2	Source	48
ERR526030	Env_1	Source	48
ERR525969	Env_2	Source	48
ERR525740	Env_1	Source	48
ERR526043	Env_4	Source	48
ERR525719	Env_1	Source	48
ERR525793	Env_2	Source	48
ERR525730	Env_3	Source	48
ERR525866	Env_1	Source	48
ERR525833	Env_2	Source	48
ERR526062	Env_1	Source	48
ERR525787	Env_4	Source	48
ERR525881	Env_3	Source	48
ERR525887	Env_2	Source	48
ERR525810	Env_3	Source	48
ERR525896	Env_3	Source	48
ERR525695	Env_2	Source	48
ERR526061	Env_2	Source	48
ERR525819	Env_4	Source	48
ERR525690	Env_2	Source	48
ERR525714	Env_2	Source	48
ERR525765	Env_2	Source	48
ERR525865	Env_2	Source	48
ERR525989	Env_2	Source	48
ERR525861	Env_2	Source	48
ERR526023	Env_4	Source	48
ERR525964	Env_3	Source	48
ERR525900	Env_1	Source	48
ERR525995	Env_4	Source	48
ERR525763	Env_4	Source	48
ERR525927	Env_1	Source	48
ERR525806	Env_3	Source	48
ERR525770	Env_1	Source	48
ERR525844	Env_3	Source	48
ERR525815	Env_4	Source	48
ERR525951	Env_2	Source	48
ERR526011	Env_4	Source	48
ERR525916	Env_3	Source	48
ERR525847	Env_4	Source	48
ERR525942	Env_1	Source	48
ERR525914	Env_1	Source	48
ERR525691	Env_1	Source	48
ERR525923	Env_4	Source	48
ERR526083	Env_4	Source	48
ERR525761	Env_2	Source	48
ERR525704	Env_2	Source	48
ERR526000	Env_3	Source	48
ERR526035	Env_4	Source	48
ERR526066	Env_1	Source	48
ERR526017	Env_2	Source	48
