SampleID	Env	SourceSink	id
ERR525910	Env_5	Source	49
ERR525809	Env_4	Source	49
ERR525963	Env_4	Source	49
ERR525990	Env_1	Source	49
ERR525692	Env_4	Source	49
ERR525961	Env_2	Source	49
ERR525766	Env_1	Source	49
ERR525773	Env_2	Source	49
ERR526025	Env_2	Source	49
ERR525759	Env_4	Source	49
ERR525808	Env_1	Source	49
ERR526020	Env_3	Source	49
ERR525918	Env_1	Source	49
ERR525985	Env_2	Source	49
ERR525738	Env_3	Source	49
ERR525937	Env_2	Source	49
ERR525791	Env_4	Source	49
ERR525871	Env_4	Source	49
ERR525762	Env_1	Source	49
ERR526060	Env_3	Source	49
ERR525967	Env_4	Source	49
ERR525911	Env_8	Source	49
ERR525689	Env_3	Source	49
ERR525949	Env_2	Source	49
ERR526086	Env_1	Source	49
ERR526002	Env_1	Source	49
ERR525939	Env_4	Source	49
ERR525965	Env_2	Source	49
ERR525781	Env_2	Source	49
ERR525746	Env_4	Source	49
ERR525863	Env_4	Source	49
ERR525821	Env_2	Source	49
ERR525800	Env_3	Source	49
ERR525882	Env_2	Source	49
ERR525802	Env_2	Source	49
ERR525860	Env_3	Source	49
ERR525731	Env_2	Source	49
ERR526057	Env_2	Source	49
ERR525723	Env_2	Source	49
ERR525776	Env_3	Source	49
ERR525984	Env_3	Source	49
ERR525854	Env_1	Source	49
ERR526008	Env_3	Source	49
ERR526084	Env_3	Source	49
ERR525850	Env_1	Source	49
ERR526082	Env_1	Source	49
ERR525835	Env_4	Source	49
ERR525712	Env_4	Source	49
ERR525826	Env_1	Source	49
ERR525940	Env_3	Source	49
ERR525788	Env_3	Source	49
ERR526045	Env_2	Source	49
ERR525895	Env_4	Source	49
ERR526073	Env_4	Source	49
ERR525892	Env_1	Source	49
ERR525885	Env_2	Source	49
ERR526007	Env_4	Source	49
ERR525955	Env_4	Source	49
ERR526039	Env_4	Source	49
ERR525851	Env_4	Source	49
ERR525831	Env_4	Source	49
ERR526014	Env_1	Source	49
ERR525986	Env_1	Source	49
ERR525983	Env_4	Source	49
ERR525932	Env_3	Source	49
ERR526046	Env_1	Source	49
ERR525718	Env_2	Source	49
ERR526034	Env_1	Source	49
ERR526051	Env_4	Source	49
ERR525772	Env_3	Source	49
ERR526044	Env_3	Source	49
ERR525970	Env_1	Source	49
ERR526012	Env_3	Source	49
ERR525756	Env_1	Source	49
ERR525980	Env_3	Source	49
ERR526032	Env_3	Source	49
ERR525858	Env_1	Source	49
ERR526010	Env_1	Source	49
ERR526070	Env_3	Source	49
ERR525908	Env_7	Source	49
ERR526018	Env_1	Source	49
ERR525747	Env_3	Source	49
ERR525792	Env_3	Source	49
ERR525864	Env_3	Source	49
ERR525794	Env_1	Source	49
ERR525869	Env_2	Source	49
ERR525849	Env_2	Source	49
ERR526033	Env_2	Source	49
ERR525755	Env_2	Source	49
ERR525888	Env_1	Source	49
ERR525877	Env_2	Source	49
ERR525699	Env_4	Source	49
ERR525698	Env_1	Source	49
ERR525876	Env_3	Source	49
ERR525743	Env_3	Source	49
ERR525785	Env_2	Source	49
ERR525795	Env_4	Source	49
ERR525929	Env_2	Source	49
ERR525777	Env_2	Source	49
ERR525735	Env_2	Source	49
ERR526001	Env_2	Source	49
ERR525783	Env_4	Source	49
ERR525936	Env_3	Source	49
ERR525741	Env_4	Source	49
ERR525930	Env_1	Source	49
ERR526004	Env_3	Source	49
ERR526040	Env_3	Source	49
ERR525960	Env_3	Source	49
ERR525957	Env_2	Source	49
ERR526053	Env_2	Source	49
ERR525924	Env_3	Source	49
ERR526077	Env_2	Source	49
ERR525968	Env_3	Source	49
ERR525744	Env_2	Source	49
ERR525742	Env_3	Source	49
ERR525688	Env_3	Source	49
ERR526042	Env_1	Source	49
ERR525848	Env_3	Source	49
ERR525838	Env_1	Source	49
ERR525801	Env_3	Source	49
ERR525728	Env_1	Source	49
ERR525905	Env_2	Source	49
ERR525803	Env_1	Source	49
ERR526063	Env_4	Source	49
ERR525753	Env_4	Source	49
ERR525894	Env_1	Source	49
ERR525825	Env_2	Source	49
ERR525757	Env_4	Source	49
ERR525974	Env_1	Source	49
ERR525948	Env_4	Source	49
ERR525991	Env_4	Source	49
ERR526028	Env_3	Source	49
ERR525789	Env_2	Source	49
ERR525798	Env_1	Source	49
ERR525693	Env_2	Source	49
ERR525710	Env_2	Source	49
ERR525962	Env_1	Source	49
ERR525811	Env_2	Source	49
ERR525966	Env_1	Source	49
ERR525922	Env_1	Source	49
ERR526047	Env_4	Source	49
ERR525907	Env_4	Source	49
ERR525906	Env_1	Source	49
ERR525771	Env_4	Source	49
ERR526055	Env_4	Source	49
ERR525899	Env_2	Source	49
ERR525700	Env_3	Source	49
ERR525943	Env_4	Source	49
ERR525775	Env_4	Source	49
ERR525814	Env_1	Source	49
ERR525870	Env_1	Source	49
ERR525993	Env_2	Source	49
ERR525694	Env_3	Source	49
ERR525946	Env_2	Source	49
ERR525752	Env_1	Source	49
ERR526009	Env_2	Source	49
ERR525859	Env_4	Source	49
ERR526079	Env_4	Source	49
ERR525790	Env_1	Source	49
ERR525734	Env_3	Source	49
ERR525902	Env_1	Source	49
ERR525839	Env_4	Source	49
ERR525886	Env_3	Source	49
ERR526021	Env_2	Source	49
ERR525722	Env_3	Source	49
ERR525935	Env_4	Source	49
ERR526080	Env_3	Source	49
ERR525956	Env_3	Source	49
ERR526027	Env_4	Source	49
ERR525711	Env_1	Source	49
ERR525862	Env_1	Source	49
ERR525720	Env_4	Source	49
ERR525778	Env_1	Source	49
ERR525832	Env_3	Source	49
ERR525852	Env_3	Source	49
ERR525903	Env_4	Source	49
ERR526078	Env_1	Source	49
ERR525855	Env_4	Source	49
ERR525917	Env_2	Source	49
ERR525926	Env_2	Source	49
ERR526065	Env_2	Source	49
ERR525999	Env_4	Source	49
ERR525987	Env_4	Source	49
ERR525739	Env_2	Source	49
ERR525954	Env_1	Source	49
ERR525992	Env_3	Source	49
ERR525952	Env_1	Source	49
ERR525973	Env_2	Source	49
ERR525925	Env_3	Source	49
ERR526022	Env_1	Source	49
ERR525709	Env_3	Source	49
ERR525827	Env_4	Source	49
ERR525834	Env_1	Source	49
ERR525715	Env_1	Source	49
ERR525736	Env_1	Source	49
ERR526072	Env_1	Source	49
ERR525872	Env_3	Source	49
ERR525818	Env_1	Source	49
ERR525846	Env_1	Source	49
ERR525875	Env_4	Source	49
ERR525868	Env_3	Source	49
ERR525988	Env_3	Source	49
ERR525716	Env_4	Source	49
ERR525889	Env_4	Source	49
ERR526048	Env_3	Source	49
ERR526087	Env_4	Source	49
ERR525769	Env_2	Source	49
ERR525912	Env_3	Source	49
ERR525707	Env_1	Source	49
ERR525829	Env_2	Source	49
ERR525796	Env_3	Source	49
ERR525938	Env_1	Source	49
ERR525981	Env_2	Source	49
ERR526019	Env_4	Source	49
ERR525751	Env_4	Source	49
ERR526015	Env_4	Source	49
ERR526081	Env_2	Source	49
ERR525702	Env_2	Source	49
ERR526030	Env_1	Source	49
ERR526003	Env_4	Source	49
ERR525760	Env_3	Source	49
ERR526067	Env_4	Source	49
ERR525873	Env_2	Source	49
ERR525779	Env_4	Source	49
ERR525919	Env_4	Source	49
ERR525764	Env_3	Source	49
ERR525745	Env_1	Source	49
ERR526049	Env_2	Source	49
ERR525822	Env_1	Source	49
ERR525708	Env_4	Source	49
ERR525816	Env_3	Source	49
ERR525944	Env_3	Source	49
ERR526058	Env_1	Source	49
ERR525737	Env_4	Source	49
ERR525921	Env_2	Source	49
ERR526024	Env_3	Source	49
ERR525996	Env_3	Source	49
ERR525959	Env_4	Source	49
ERR526016	Env_3	Source	49
ERR525820	Env_3	Source	49
ERR525732	Env_1	Source	49
ERR525823	Env_4	Source	49
ERR525898	Env_3	Source	49
ERR525754	Env_3	Source	49
ERR525703	Env_3	Source	49
ERR525867	Env_4	Source	49
ERR525879	Env_4	Source	49
ERR525845	Env_2	Source	49
ERR525883	Env_1	Source	49
ERR525828	Env_3	Source	49
ERR526038	Env_1	Source	49
ERR525758	Env_1	Source	49
ERR525931	Env_4	Source	49
ERR526005	Env_2	Source	49
ERR525933	Env_2	Source	49
ERR525953	Env_4	Source	49
ERR526037	Env_2	Source	49
ERR525975	Env_4	Source	49
ERR525726	Env_3	Source	49
ERR526036	Env_3	Source	49
ERR526041	Env_2	Source	49
ERR525768	Env_3	Source	49
ERR525915	Env_4	Source	49
ERR525890	Env_3	Source	49
ERR525817	Env_2	Source	49
ERR525982	Env_1	Source	49
ERR525945	Env_3	Source	49
ERR525969	Env_2	Source	49
ERR525740	Env_1	Source	49
ERR526043	Env_4	Source	49
ERR525719	Env_1	Source	49
ERR525793	Env_2	Source	49
ERR525730	Env_3	Source	49
ERR525866	Env_1	Source	49
ERR525833	Env_2	Source	49
ERR526062	Env_1	Source	49
ERR525787	Env_4	Source	49
ERR525881	Env_3	Source	49
ERR525887	Env_2	Source	49
ERR525810	Env_3	Source	49
ERR525896	Env_3	Source	49
ERR525695	Env_2	Source	49
ERR526061	Env_2	Source	49
ERR525819	Env_4	Source	49
ERR525690	Env_2	Source	49
ERR525714	Env_2	Source	49
ERR525765	Env_2	Source	49
ERR525865	Env_2	Source	49
ERR525989	Env_2	Source	49
ERR525861	Env_2	Source	49
ERR526023	Env_4	Source	49
ERR525964	Env_3	Source	49
ERR525900	Env_1	Source	49
ERR525995	Env_4	Source	49
ERR525763	Env_4	Source	49
ERR525927	Env_1	Source	49
ERR525806	Env_3	Source	49
ERR525770	Env_1	Source	49
ERR525844	Env_3	Source	49
ERR525815	Env_4	Source	49
ERR525951	Env_2	Source	49
ERR526011	Env_4	Source	49
ERR525916	Env_3	Source	49
ERR525847	Env_4	Source	49
ERR525942	Env_1	Source	49
ERR525914	Env_1	Source	49
ERR525691	Env_1	Source	49
ERR525923	Env_4	Source	49
ERR526083	Env_4	Source	49
ERR525761	Env_2	Source	49
ERR525704	Env_2	Source	49
ERR526000	Env_3	Source	49
ERR526035	Env_4	Source	49
ERR526066	Env_1	Source	49
ERR526017	Env_2	Source	49
